Customer Age,Customer Gender,Product Purchased,Ticket Type,Ticket Subject,Ticket Status,Resolution,Ticket Priority,Ticket Channel,Customer Satisfaction Rating,First Response Delay (hrs),Resolution Time (hrs)
22,2,0,0,13,1,0,2,1,3,21273.225972222222,21306.388055555555
60,1,15,4,11,0,361,3,3,3,12678.705833333332,12679.2725
36,0,12,0,12,2,0,3,0,3,13003.605833333331,21306.388055555555
50,1,5,3,6,0,1067,0,3,5,12938.023055555555,12954.423055555557
27,1,27,3,7,2,0,2,0,3,18812.84,21306.388055555555
24,2,16,1,12,0,1875,1,0,1,23071.94027777778,23064.24027777778
65,0,9,3,6,2,0,3,1,3,28191.85777777778,21306.388055555555
39,0,2,2,11,1,0,3,0,3,21273.225972222222,21306.388055555555
19,1,18,4,0,0,1529,0,2,3,15114.758333333331,15093.891666666666
33,2,1,2,0,2,0,3,3,3,14086.325555555555,21306.388055555555
19,0,33,2,7,2,0,2,2,3,20265.1925,21306.388055555555
35,1,10,0,11,0,2266,0,0,3,17348.426111111112,17342.72611111111
22,1,35,2,11,2,0,3,2,3,23154.693055555555,21306.388055555555
54,0,41,4,6,1,0,2,1,3,21273.225972222222,21306.388055555555
34,2,19,3,11,0,1630,0,1,2,14741.9775,14739.3275
65,0,21,2,2,1,0,2,0,3,21273.225972222222,21306.388055555555
50,0,31,3,8,0,167,1,2,1,23019.72861111111,23025.411944444444
27,0,16,4,15,0,1202,3,3,1,24895.279166666667,24893.99583333333
32,2,20,1,8,1,0,1,0,3,21273.225972222222,21306.388055555555
44,1,25,4,5,1,0,3,0,3,21273.225972222222,21306.388055555555
66,1,39,3,15,1,0,3,0,3,21273.225972222222,21306.388055555555
64,1,21,3,15,0,1403,3,0,3,22168.363611111112,22162.530277777776
54,1,28,3,8,0,1440,1,3,3,14377.913611111111,14396.996944444443
37,1,19,1,4,0,712,2,0,4,15696.663888888888,15706.430555555557
68,0,27,4,8,2,0,2,0,3,14287.430833333334,21306.388055555555
50,0,31,1,15,2,0,0,0,3,13427.248055555556,21306.388055555555
69,1,5,4,15,2,0,3,3,3,12634.56472222222,21306.388055555555
47,2,15,3,10,1,0,0,1,3,21273.225972222222,21306.388055555555
27,1,5,4,12,0,632,3,2,5,24851.949166666665,24844.76583333333
40,2,3,2,2,0,1972,3,0,3,15235.849444444444,15216.649444444443
40,1,37,1,13,0,676,3,0,1,22248.3,22259.916666666668
41,2,23,2,1,2,0,0,3,3,13369.53388888889,21306.388055555555
64,0,40,0,9,0,769,1,1,4,21623.617777777778,21636.684444444443
57,0,0,0,6,2,0,1,2,3,27199.118055555555,21306.388055555555
61,1,27,4,11,1,0,3,2,3,21273.225972222222,21306.388055555555
56,1,3,4,1,2,0,3,2,3,13606.635277777776,21306.388055555555
49,0,16,0,11,0,820,1,1,5,15893.102222222222,15898.285555555556
54,1,25,1,10,2,0,2,2,3,16917.069444444445,21306.388055555555
51,2,0,4,11,2,0,0,0,3,20279.00333333333,21306.388055555555
46,0,8,3,14,0,114,1,0,1,28907.95333333333,28894.853333333333
27,1,18,1,13,2,0,3,0,3,17927.820555555554,21306.388055555555
37,2,41,3,4,1,0,3,3,3,21273.225972222222,21306.388055555555
34,0,11,0,5,0,749,2,0,4,20044.58777777778,20043.28777777778
36,2,12,1,9,0,828,0,3,3,22437.52138888889,22418.40472222222
31,0,40,0,13,1,0,0,1,3,21273.225972222222,21306.388055555555
37,2,34,2,5,0,2181,0,0,1,21038.722222222223,21026.505555555555
18,2,41,1,0,1,0,0,2,3,21273.225972222222,21306.388055555555
63,0,12,0,4,0,1071,2,1,5,21235.27333333333,21231.356666666667
55,2,18,0,3,2,0,3,3,3,21016.957222222223,21306.388055555555
40,2,21,4,15,2,0,0,0,3,22571.457777777778,21306.388055555555
50,2,25,4,12,2,0,0,2,3,19231.457777777778,21306.388055555555
29,2,3,1,2,2,0,3,1,3,16307.624722222225,21306.388055555555
24,1,33,3,15,0,721,2,3,1,14525.675,14540.591666666667
57,2,5,4,7,2,0,0,2,3,15816.40888888889,21306.388055555555
67,2,26,4,6,1,0,3,2,3,21273.225972222222,21306.388055555555
67,0,9,2,10,1,0,1,3,3,21273.225972222222,21306.388055555555
46,1,38,4,12,0,1943,0,2,2,29538.05972222222,29526.39305555556
55,2,32,4,4,2,0,1,3,3,23875.36,21306.388055555555
42,2,29,0,13,1,0,0,1,3,21273.225972222222,21306.388055555555
40,1,39,2,12,0,745,3,1,5,29231.294444444444,29235.161111111112
57,2,39,3,15,2,0,1,2,3,23023.261388888888,21306.388055555555
62,1,41,2,5,2,0,2,1,3,13536.245277777778,21306.388055555555
44,1,6,4,10,2,0,2,1,3,17655.9625,21306.388055555555
32,0,33,3,7,1,0,2,1,3,21273.225972222222,21306.388055555555
65,2,27,2,0,1,0,0,2,3,21273.225972222222,21306.388055555555
60,1,5,2,1,0,2068,1,0,5,14568.146944444445,14586.663611111111
18,0,34,1,1,1,0,1,3,3,21273.225972222222,21306.388055555555
22,2,40,2,4,2,0,1,1,3,29521.93083333333,21306.388055555555
38,1,35,0,14,0,917,1,0,5,23887.098055555554,23894.764722222222
23,2,36,4,6,2,0,2,0,3,26703.548055555555,21306.388055555555
39,0,11,1,4,2,0,1,1,3,26325.61527777778,21306.388055555555
18,2,41,0,15,2,0,0,2,3,16077.015833333331,21306.388055555555
40,0,4,3,1,0,1330,0,1,3,20547.132777777777,20559.399444444443
49,1,11,3,1,1,0,1,0,3,21273.225972222222,21306.388055555555
58,1,12,3,12,1,0,1,2,3,21273.225972222222,21306.388055555555
56,2,11,2,1,2,0,0,0,3,16418.133611111112,21306.388055555555
42,0,30,1,7,0,2354,2,1,2,17819.633611111112,17828.766944444444
50,2,21,4,0,2,0,1,1,3,17343.816944444443,21306.388055555555
33,1,11,4,13,0,799,0,0,4,29762.9175,29768.25083333333
59,0,7,2,0,1,0,1,1,3,21273.225972222222,21306.388055555555
60,0,1,1,10,0,1165,1,1,2,16155.234722222222,16164.718055555555
68,1,31,3,5,1,0,1,2,3,21273.225972222222,21306.388055555555
68,0,35,2,5,1,0,3,3,3,21273.225972222222,21306.388055555555
27,2,25,1,9,0,2279,1,1,1,13587.4025,13582.4025
28,0,37,1,1,0,1261,1,1,1,23626.452777777777,23622.069444444445
29,1,41,4,4,1,0,0,1,3,21273.225972222222,21306.388055555555
20,0,41,1,15,0,369,1,1,5,13243.036944444444,13242.286944444444
18,1,17,0,13,0,957,3,2,5,28824.67055555556,28828.70388888889
39,0,19,3,3,1,0,1,1,3,21273.225972222222,21306.388055555555
41,0,12,0,15,0,34,2,2,2,16084.371388888889,16094.82138888889
56,1,2,0,14,2,0,3,0,3,19506.03861111111,21306.388055555555
37,2,7,2,10,1,0,0,0,3,21273.225972222222,21306.388055555555
29,2,10,3,7,1,0,2,3,3,21273.225972222222,21306.388055555555
36,2,35,2,1,2,0,2,1,3,12517.14,21306.388055555555
63,1,11,4,13,2,0,1,2,3,19202.24055555556,21306.388055555555
45,1,32,3,5,1,0,3,0,3,21273.225972222222,21306.388055555555
68,0,23,0,2,1,0,2,3,3,21273.225972222222,21306.388055555555
57,1,40,3,2,2,0,2,1,3,23427.15861111111,21306.388055555555
49,1,0,1,6,0,2466,3,1,3,18646.209166666667,18648.4925
55,2,1,1,2,2,0,2,1,3,18175.64305555556,21306.388055555555
43,1,4,0,12,0,1155,3,1,2,28917.52666666667,28911.06
49,1,21,2,1,2,0,0,3,3,13316.960555555555,21306.388055555555
65,0,33,1,3,1,0,3,2,3,21273.225972222222,21306.388055555555
50,1,30,3,14,0,93,0,2,5,17153.24472222222,17134.894722222223
66,1,33,1,13,0,1797,0,1,2,27031.678333333333,27025.12833333333
35,0,35,2,15,2,0,2,0,3,13898.095277777778,21306.388055555555
46,2,7,1,15,1,0,0,1,3,21273.225972222222,21306.388055555555
21,2,1,4,8,0,2313,2,0,4,12681.94611111111,12681.146111111111
58,1,0,2,11,0,1011,0,0,2,20135.879722222224,20142.979722222222
31,2,20,1,1,2,0,2,2,3,19483.780277777776,21306.388055555555
47,1,22,1,13,0,1282,0,1,1,18081.597222222223,18077.51388888889
31,2,38,4,15,0,2596,1,0,2,27477.314444444444,27461.181111111116
38,0,34,0,11,2,0,1,0,3,18398.531666666662,21306.388055555555
38,0,8,1,0,1,0,0,1,3,21273.225972222222,21306.388055555555
25,0,9,3,3,1,0,2,3,3,21273.225972222222,21306.388055555555
46,1,32,1,14,2,0,3,1,3,23103.41638888889,21306.388055555555
39,1,23,1,1,1,0,2,1,3,21273.225972222222,21306.388055555555
22,0,3,0,11,0,1636,2,3,3,23245.75083333333,23231.4675
40,2,22,3,7,0,802,1,0,1,14048.75138888889,14053.918055555556
64,0,32,4,10,0,992,0,1,3,19336.56861111111,19340.035277777777
29,0,18,3,12,0,87,0,1,4,23055.5525,23046.8525
45,2,40,3,5,2,0,3,2,3,12588.552777777775,21306.388055555555
46,2,16,2,0,2,0,2,3,3,14175.969722222222,21306.388055555555
58,1,15,4,2,2,0,3,3,3,28226.836944444443,21306.388055555555
55,0,34,4,12,1,0,3,3,3,21273.225972222222,21306.388055555555
52,1,19,1,4,1,0,2,0,3,21273.225972222222,21306.388055555555
20,1,4,2,4,1,0,2,3,3,21273.225972222222,21306.388055555555
69,1,30,4,14,1,0,3,2,3,21273.225972222222,21306.388055555555
35,1,11,2,6,2,0,2,3,3,13154.3225,21306.388055555555
55,2,39,0,2,2,0,1,1,3,20371.556111111116,21306.388055555555
19,0,23,3,0,2,0,1,1,3,25138.339722222223,21306.388055555555
29,0,19,3,13,0,1084,1,2,3,29811.32361111111,29823.973611111112
30,1,7,3,9,0,1913,0,2,1,14085.640833333331,14074.624166666666
34,1,25,1,12,0,292,3,2,3,22387.2575,22377.040833333333
24,1,19,0,13,0,1942,2,3,5,17803.658055555556,17805.44138888889
33,1,6,2,8,2,0,2,1,3,24991.358333333334,21306.388055555555
32,0,40,3,1,0,2239,3,1,3,27700.59222222222,27703.492222222223
41,1,14,4,4,0,610,3,0,3,29220.6925,29214.32583333333
51,2,23,0,4,1,0,1,3,3,21273.225972222222,21306.388055555555
30,1,39,2,8,0,2759,3,2,1,24758.24333333333,24755.143333333333
44,0,25,0,13,0,233,2,3,4,12591.710555555555,12594.610555555557
33,0,38,3,14,1,0,2,0,3,21273.225972222222,21306.388055555555
36,2,28,1,11,2,0,3,3,3,29314.895,21306.388055555555
50,2,23,3,12,2,0,3,1,3,14591.17861111111,21306.388055555555
37,1,21,4,3,2,0,0,0,3,14515.378611111111,21306.388055555555
42,2,33,4,4,0,878,3,1,4,14197.245833333332,14191.395833333334
49,0,37,4,14,2,0,3,1,3,13490.763055555555,21306.388055555555
27,2,11,1,12,2,0,1,2,3,23603.063611111116,21306.388055555555
25,2,0,0,10,1,0,3,0,3,21273.225972222222,21306.388055555555
58,0,18,0,3,2,0,0,2,3,17490.614444444444,21306.388055555555
60,2,24,3,11,2,0,3,1,3,13467.56472222222,21306.388055555555
34,2,2,1,0,2,0,0,3,3,22028.79833333333,21306.388055555555
33,0,36,2,4,0,2608,1,0,4,18577.498888888887,18582.582222222223
32,0,18,0,8,0,1201,3,2,4,28127.649166666662,28131.865833333333
29,0,34,3,13,2,0,1,0,3,14221.799722222222,21306.388055555555
50,2,37,4,15,1,0,2,2,3,21273.225972222222,21306.388055555555
33,0,41,2,14,2,0,3,2,3,18463.5,21306.388055555555
46,1,23,1,8,2,0,2,2,3,20729.233888888888,21306.388055555555
37,2,34,3,11,0,4,1,2,1,20943.9675,20935.534166666668
46,2,21,4,5,1,0,0,3,3,21273.225972222222,21306.388055555555
70,2,41,3,13,2,0,0,2,3,20211.15166666667,21306.388055555555
57,0,12,2,4,2,0,2,1,3,23039.285277777777,21306.388055555555
58,2,16,2,0,0,1885,3,2,1,13965.519166666669,13942.819166666666
18,1,16,1,14,2,0,0,0,3,15269.136111111113,21306.388055555555
57,1,36,0,9,0,2168,3,3,2,17188.136388888888,17195.819722222222
29,2,28,3,11,1,0,1,3,3,21273.225972222222,21306.388055555555
66,0,19,3,5,2,0,2,3,3,15906.070555555556,21306.388055555555
30,1,24,3,4,0,562,1,0,3,20498.904166666667,20494.604166666668
60,0,1,1,13,0,1606,0,0,5,16273.121388888889,16291.404722222222
66,2,9,2,15,0,1043,3,0,5,23652.655277777776,23660.571944444444
51,2,4,2,2,1,0,0,1,3,21273.225972222222,21306.388055555555
55,2,14,3,4,1,0,3,3,3,21273.225972222222,21306.388055555555
26,0,23,0,13,1,0,3,0,3,21273.225972222222,21306.388055555555
46,1,20,2,1,2,0,2,2,3,26591.42388888889,21306.388055555555
43,0,17,1,15,0,119,1,2,3,26057.79111111111,26057.841111111116
55,1,39,3,4,0,680,3,2,1,22069.94138888889,22067.30805555556
47,1,34,0,15,1,0,1,2,3,21273.225972222222,21306.388055555555
48,0,28,0,5,2,0,0,1,3,16176.85861111111,21306.388055555555
38,1,9,3,0,1,0,1,1,3,21273.225972222222,21306.388055555555
62,2,31,4,4,0,2751,2,0,1,29133.842777777776,29132.176111111112
39,1,37,4,15,2,0,2,2,3,29567.693333333333,21306.388055555555
49,2,21,2,1,2,0,2,3,3,27636.62722222222,21306.388055555555
34,0,15,4,8,1,0,3,3,3,21273.225972222222,21306.388055555555
62,1,3,0,7,1,0,1,2,3,21273.225972222222,21306.388055555555
28,1,4,2,5,1,0,2,1,3,21273.225972222222,21306.388055555555
59,0,37,0,10,1,0,0,0,3,21273.225972222222,21306.388055555555
18,0,35,4,4,2,0,1,0,3,21110.22861111111,21306.388055555555
20,2,30,0,1,1,0,2,0,3,21273.225972222222,21306.388055555555
44,1,32,0,1,2,0,0,1,3,20139.19638888889,21306.388055555555
65,0,9,4,14,0,565,0,3,2,14793.96361111111,14795.046944444444
70,0,39,0,7,0,1329,3,3,5,19261.8975,19253.764166666668
34,2,11,0,7,2,0,0,0,3,19113.23138888889,21306.388055555555
64,2,36,1,0,2,0,0,2,3,20303.414722222224,21306.388055555555
67,0,23,3,12,2,0,2,0,3,26398.965277777777,21306.388055555555
59,1,16,3,8,1,0,3,0,3,21273.225972222222,21306.388055555555
35,0,33,4,12,0,2598,1,0,4,27828.399166666662,27813.915833333333
53,0,3,0,12,0,2756,1,2,4,21070.833055555555,21088.199722222223
56,1,19,1,12,2,0,2,2,3,28324.983333333334,21306.388055555555
32,1,38,0,12,1,0,2,2,3,21273.225972222222,21306.388055555555
66,1,27,4,6,0,1386,0,3,2,19952.167777777777,19954.667777777777
65,1,11,3,5,2,0,2,0,3,25624.285,21306.388055555555
55,1,13,4,0,2,0,1,2,3,22632.96861111111,21306.388055555555
40,1,19,4,5,1,0,1,1,3,21273.225972222222,21306.388055555555
67,2,7,3,6,2,0,1,0,3,20413.219166666662,21306.388055555555
65,0,11,1,11,1,0,0,0,3,21273.225972222222,21306.388055555555
18,0,9,0,10,2,0,0,1,3,21821.786944444444,21306.388055555555
40,1,41,3,14,0,816,0,2,3,21008.35388888889,21000.72055555556
31,1,39,2,10,0,2169,1,3,4,14952.854444444443,14960.637777777778
69,0,21,3,11,2,0,0,1,3,20680.371666666662,21306.388055555555
48,1,28,1,15,1,0,2,1,3,21273.225972222222,21306.388055555555
66,1,32,4,4,0,2621,2,3,5,16236.739166666666,16233.705833333332
55,1,41,0,11,0,2752,2,3,2,14000.173055555557,14013.823055555556
30,1,12,4,4,1,0,0,0,3,21273.225972222222,21306.388055555555
43,2,22,4,4,2,0,0,0,3,26550.590277777777,21306.388055555555
66,0,25,1,7,2,0,3,2,3,29598.12416666667,21306.388055555555
55,1,41,0,13,2,0,3,2,3,27604.324444444443,21306.388055555555
59,1,16,4,0,2,0,3,0,3,28997.691666666666,21306.388055555555
37,2,27,0,6,1,0,3,0,3,21273.225972222222,21306.388055555555
44,1,5,3,15,2,0,0,3,3,18489.959444444445,21306.388055555555
35,1,38,3,11,0,677,1,0,3,14871.176111111112,14870.576111111111
19,0,34,4,13,0,1007,0,2,2,16179.259444444444,16184.076111111111
29,2,27,4,9,2,0,0,3,3,21806.91,21306.388055555555
40,2,15,1,8,2,0,1,3,3,28035.51027777778,21306.388055555555
69,0,24,4,2,2,0,1,3,3,13579.227222222222,21306.388055555555
51,0,18,3,7,2,0,2,1,3,17939.027222222223,21306.388055555555
58,0,5,3,8,1,0,1,3,3,21273.225972222222,21306.388055555555
58,0,17,1,7,2,0,1,0,3,16394.161666666667,21306.388055555555
24,0,31,1,6,1,0,1,3,3,21273.225972222222,21306.388055555555
59,0,30,2,2,1,0,1,0,3,21273.225972222222,21306.388055555555
33,1,33,0,1,0,1954,2,3,5,15749.912777777778,15755.44611111111
56,2,2,0,8,2,0,1,3,3,18192.16333333333,21306.388055555555
42,0,8,0,6,1,0,0,2,3,21273.225972222222,21306.388055555555
48,1,26,2,6,0,1672,3,0,2,12893.747222222222,12888.147222222222
52,1,16,2,5,1,0,3,0,3,21273.225972222222,21306.388055555555
46,2,39,3,2,0,442,0,3,3,16888.664444444443,16876.714444444446
29,1,20,1,11,0,642,3,0,2,27140.315,27136.265
20,0,1,4,13,1,0,1,2,3,21273.225972222222,21306.388055555555
37,1,17,4,12,1,0,2,3,3,21273.225972222222,21306.388055555555
69,0,26,1,14,2,0,3,2,3,24344.06555555556,21306.388055555555
64,2,24,3,6,0,2620,1,3,3,18055.365833333333,18064.165833333333
63,1,40,0,3,0,2458,0,2,1,20990.11611111111,20989.466111111116
44,2,2,3,9,1,0,0,2,3,21273.225972222222,21306.388055555555
43,1,20,4,2,2,0,0,0,3,14027.4,21306.388055555555
35,2,35,4,6,1,0,1,2,3,21273.225972222222,21306.388055555555
53,1,37,1,13,1,0,3,0,3,21273.225972222222,21306.388055555555
61,0,7,3,8,1,0,2,0,3,21273.225972222222,21306.388055555555
63,0,6,0,12,1,0,3,0,3,21273.225972222222,21306.388055555555
39,0,5,0,14,0,2220,3,0,4,28604.601666666666,28598.41833333333
21,2,3,4,15,0,1543,2,3,5,17376.702222222222,17375.085555555557
40,0,33,0,12,2,0,1,3,3,16974.485833333332,21306.388055555555
33,1,7,2,14,0,988,0,0,2,18110.36972222222,18112.153055555555
52,1,23,2,6,2,0,2,3,3,22381.00361111111,21306.388055555555
64,1,18,1,15,1,0,2,3,3,21273.225972222222,21306.388055555555
39,2,8,4,9,1,0,0,3,3,21273.225972222222,21306.388055555555
35,0,27,0,9,2,0,2,2,3,27934.37111111111,21306.388055555555
24,0,2,4,10,2,0,3,3,3,13726.038333333334,21306.388055555555
25,2,30,4,2,2,0,0,2,3,14073.638611111111,21306.388055555555
37,2,20,2,13,1,0,2,1,3,21273.225972222222,21306.388055555555
54,2,14,3,4,1,0,1,0,3,21273.225972222222,21306.388055555555
30,2,7,3,13,2,0,0,1,3,28024.82277777778,21306.388055555555
58,2,34,0,9,2,0,2,0,3,27670.95611111111,21306.388055555555
26,1,19,1,3,1,0,1,3,3,21273.225972222222,21306.388055555555
35,0,32,0,11,0,1474,1,1,2,12941.489722222224,12945.789722222222
65,1,34,2,9,1,0,0,3,3,21273.225972222222,21306.388055555555
58,0,32,2,2,0,2024,0,2,3,24025.82361111111,24024.256944444445
29,0,11,3,3,1,0,3,1,3,21273.225972222222,21306.388055555555
26,0,27,0,7,0,40,3,3,5,18971.457222222223,18968.44055555556
24,1,3,1,2,0,54,0,2,2,23812.24111111111,23825.674444444445
22,2,16,2,8,1,0,2,0,3,21273.225972222222,21306.388055555555
68,0,8,1,12,2,0,3,2,3,14474.925555555556,21306.388055555555
59,2,2,1,12,1,0,1,3,3,21273.225972222222,21306.388055555555
30,2,8,1,14,1,0,3,3,3,21273.225972222222,21306.388055555555
44,1,2,2,10,0,2315,3,2,1,29424.826944444445,29425.89361111111
28,0,7,1,10,2,0,3,3,3,16210.327222222222,21306.388055555555
53,0,2,1,15,0,141,3,0,5,19620.41083333333,19629.344166666662
33,0,27,1,14,1,0,0,0,3,21273.225972222222,21306.388055555555
32,0,15,3,10,0,1036,2,3,2,16721.128333333334,16724.178333333333
21,0,20,4,11,2,0,0,3,3,26936.195277777777,21306.388055555555
19,2,13,2,4,1,0,1,0,3,21273.225972222222,21306.388055555555
62,0,35,4,15,1,0,1,0,3,21273.225972222222,21306.388055555555
53,1,31,4,10,0,2087,1,3,2,23965.86333333333,23956.83
46,0,6,3,13,0,2480,0,0,2,25159.31333333333,25161.31333333333
46,0,27,4,1,0,2595,3,1,1,25680.230555555558,25681.49722222222
18,1,1,2,2,1,0,2,2,3,21273.225972222222,21306.388055555555
30,0,16,1,9,0,1587,1,1,2,20813.98138888889,20813.69805555556
33,2,13,1,6,2,0,0,0,3,24046.03138888889,21306.388055555555
52,1,35,1,6,1,0,1,0,3,21273.225972222222,21306.388055555555
18,1,3,4,2,0,1277,2,0,4,26983.54888888889,26975.89888888889
28,0,30,0,14,2,0,3,1,3,15114.86611111111,21306.388055555555
29,0,28,3,6,1,0,0,2,3,21273.225972222222,21306.388055555555
27,2,28,1,15,0,131,3,1,4,15876.816944444445,15869.183611111112
66,0,0,0,13,1,0,1,1,3,21273.225972222222,21306.388055555555
70,1,8,3,1,0,1597,0,3,3,13302.800833333333,13295.934166666666
47,2,8,4,3,1,0,0,3,3,21273.225972222222,21306.388055555555
66,2,22,2,1,2,0,2,2,3,28254.585277777776,21306.388055555555
52,0,26,3,6,0,416,2,2,4,29304.68527777778,29315.46861111111
69,1,15,2,0,2,0,0,1,3,25252.96888888889,21306.388055555555
45,2,38,3,4,1,0,2,3,3,21273.225972222222,21306.388055555555
58,0,29,4,11,1,0,3,0,3,21273.225972222222,21306.388055555555
45,0,16,3,12,0,2473,3,0,5,14116.47,14121.986666666666
55,2,3,3,12,1,0,2,2,3,21273.225972222222,21306.388055555555
49,1,9,1,0,2,0,3,2,3,25368.08777777778,21306.388055555555
21,1,13,4,4,0,2362,3,3,2,27354.18833333333,27355.93833333333
41,2,31,4,7,0,752,3,2,2,20290.655277777776,20279.771944444445
63,0,40,2,12,2,0,1,1,3,18546.855555555558,21306.388055555555
36,0,17,1,7,1,0,1,2,3,21273.225972222222,21306.388055555555
33,1,1,4,11,2,0,0,2,3,23011.306111111116,21306.388055555555
56,2,31,4,0,1,0,1,1,3,21273.225972222222,21306.388055555555
45,1,41,4,11,0,830,0,3,3,20264.74027777778,20272.70694444445
33,1,34,2,3,0,1154,2,1,1,28623.67388888889,28619.040555555555
25,0,8,0,2,1,0,3,2,3,21273.225972222222,21306.388055555555
20,0,2,1,11,2,0,0,1,3,13293.441111111111,21306.388055555555
21,1,38,1,2,0,1285,2,0,5,20703.74111111111,20709.257777777777
48,2,11,2,14,1,0,3,2,3,21273.225972222222,21306.388055555555
52,2,19,4,8,0,486,1,2,3,17909.40861111111,17921.425277777777
54,1,14,4,9,0,2055,1,3,5,18735.942222222224,18727.22555555556
63,0,32,4,2,1,0,2,1,3,21273.225972222222,21306.388055555555
44,0,25,3,12,1,0,3,0,3,21273.225972222222,21306.388055555555
52,1,5,4,1,2,0,3,1,3,14322.459722222222,21306.388055555555
28,0,20,0,1,0,1156,0,1,3,25223.51,25241.426666666663
70,2,14,1,11,0,2076,0,3,2,13975.560555555556,13985.260555555556
51,0,17,1,0,2,0,3,2,3,12697.544166666668,21306.388055555555
47,1,7,3,7,0,1519,1,1,2,21592.17777777778,21586.71111111111
52,1,28,1,14,0,2120,0,0,4,12475.328333333331,12460.911666666669
51,1,33,0,12,2,0,3,2,3,25319.395555555555,21306.388055555555
18,2,22,0,11,2,0,1,3,3,29810.129166666666,21306.388055555555
38,1,41,4,2,0,2507,1,0,2,14281.09638888889,14300.713055555556
25,0,36,3,15,1,0,0,3,3,21273.225972222222,21306.388055555555
58,1,17,0,1,2,0,2,3,3,21103.230277777777,21306.388055555555
24,1,24,0,12,1,0,0,0,3,21273.225972222222,21306.388055555555
42,1,31,1,8,0,1936,3,1,5,29094.33111111111,29096.664444444443
50,2,6,2,11,0,2372,3,0,4,21804.79833333333,21806.915
21,1,31,2,6,1,0,2,0,3,21273.225972222222,21306.388055555555
48,1,17,3,1,1,0,0,1,3,21273.225972222222,21306.388055555555
33,1,15,1,9,0,2390,1,0,1,14751.066111111111,14756.182777777778
22,1,6,0,10,0,1215,3,3,3,29171.583055555555,29167.31638888889
51,2,39,1,6,1,0,0,1,3,21273.225972222222,21306.388055555555
29,0,34,0,10,1,0,0,0,3,21273.225972222222,21306.388055555555
29,2,2,1,0,2,0,2,0,3,23648.48444444445,21306.388055555555
62,1,20,2,15,2,0,2,0,3,13465.434444444443,21306.388055555555
24,1,34,3,0,0,888,3,1,2,22646.20111111111,22631.434444444443
39,2,2,1,1,0,2556,3,1,1,19918.334722222226,19918.984722222223
32,1,15,3,1,0,1748,3,3,5,13790.868333333334,13797.135
24,2,16,4,2,0,2636,0,2,1,17530.86888888889,17531.702222222222
63,1,22,2,7,2,0,2,1,3,28708.569444444445,21306.388055555555
30,0,23,2,14,0,2091,2,2,1,15811.836388888889,15812.18638888889
28,1,15,3,6,2,0,2,1,3,18068.120277777776,21306.388055555555
51,0,17,1,13,1,0,3,2,3,21273.225972222222,21306.388055555555
42,2,30,3,3,0,1081,3,1,4,25146.52083333333,25126.304166666665
42,1,22,3,3,1,0,3,3,3,21273.225972222222,21306.388055555555
37,0,16,2,10,0,2425,2,1,5,26983.155277777776,26989.17194444445
62,1,38,2,14,0,1950,1,1,4,15169.955555555556,15167.238888888887
42,2,26,0,13,1,0,0,1,3,21273.225972222222,21306.388055555555
